ID, r1 , mr1 , r2 , r3 , built_date ,built_year, Latitude , Longitude ,count_date,veh_vol,ped_vol
1396, KENNEDY RD ,, PASSMORE AVE , PURCELL SQ , 12/08/1981 ,1981 ,43.818461,-79.304727,5-23-2015,20817,496
1397, MARKHAM RD ,, EASTPARK BLVD , STEVENWOOD RD , 08/13/1981 ,1981 ,43.75568,-79.22403,4-8-2014,14177,493
1398, MCCOWAN RD ,, SANDHURST CRCL ,, 03/09/1981 ,1981 ,43.80514,-79.26531,4-30-2015,16272,544
1399, BATHURST ST ,, GREENWIN VILLAGE RD , PRIVATE ACCESS , 09/17/1981 ,1981 ,43.79084,-79.44537,3-23-2015,18326,1194
1400, STEELES AVE W , 395m WEST OF , YONGE ST , PRIVATE ACCESS , 11/18/1981 ,1981 ,43.79703,-79.42484,4-16-2012,22646,1273
1401, BLOOR ST W ,, HURON ST ,, 11/19/1981 ,1981 ,43.66717,-79.40152,9-20-2012,11327,7992
1402, BLOOR ST W ,, ABERFOYLE CRES , GARDENVALE RD , 11/24/1981 ,1981 ,43.64571,-79.51902,5-19-2011,16416,858
1403, WESTON RD ,, GUNNS RD , PRIVATE ACCESS , 11/25/1981 ,1981 ,43.67595,-79.47032,11-15-2012,15021,136
1404, ST CLAIR AVE W ,, GUNNS RD , OLD STOCK YARDS RD , 11/25/1981 ,1981 ,43.6717778,-79.4711048,4-22-2015,13948,974
1405, SPADINA RD ,, LOWTHER AVE ,, 02/12/1981 ,1981 ,43.66897,-79.40475,1-12-2012,9699,1736
1406, WILLIAM R ALLEN RD ,, TRANSIT RD , WILSON HEIGHTS BLVD , 07/12/1981 ,1981 ,43.74183,-79.45432,3-25-2014,32825,0
1407, WILLIAM R ALLEN RD ,, SHEPPARD AVE W ,, 07/12/1981 ,1981 ,43.75028,-79.46338,4-2-2014,43882,1287
1408, LAKE SHORE BLVD W ,, REES ST ,, 12/21/1981 ,1981 ,43.63994,-79.387,8-25-2012,22733,1895
1409, JANE ST ,, BEVERLY HILLS DR , PRIVATE ACCESS , 12/16/1981 ,1981 ,43.71912,-79.50813,9-28-2010,20524,1275
1410, YONGE ST ,, BELSIZE DR ,, 12/21/1981 ,1981 ,43.70033,-79.39703,5-28-2009,13039,1374
1411, PHARMACY AVE ,, INNISWOOD DR ,, 12/30/1981 ,1981 ,43.73937,-79.30308,2-24-2011,9940,324
1412, RENFORTH DR ,, CONVAIR DR ,, 01/13/1982 ,1982 ,43.6722,-79.59333,2-16-2012,21403,116
1413, BIRCHMOUNT RD ,, MCNICOLL AVE ,, 01/28/1982 ,1982 ,43.80866,-79.31115,3-1-2011,21948,171
1414, STEELES AVE W ,, BLACK HAWKWAY , NEW WESTMINSTER DR , 01/20/1982 ,1982 ,43.78988,-79.45762,5-13-2015,23038,709
1415, YONGE ST , 130m SOUTH OF , EGLINTON AVE W ,, 02/25/1982 ,1982 ,43.70542,-79.39809,6-2-2010,10474,3552
1416, YONGE ST ,, GLOUCESTER ST , IRWIN AVE , 02/26/1982 ,1982 ,43.66656,-79.38523,7-24-2012,14550,6173
1417, FRONT ST W ,, JOHN ST , PRIVATE ACCESS , 03/03/1982 ,1982 ,43.64398,-79.38873,4-20-2015,9921,13919
1418, JANE ST ,, BLACK CR N JANE ST RAMP ,, 04/06/1982 ,1982 ,43.71272,-79.50642,6-15-2011,22056,53
